State,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population,YEAR
Alabama (AL),$548 ,$592 ,$726 ,$950 ,"$1,095 ","4,850,775",2021
Alaska (AK),$862 ,$965 ,"$1,215 ","$1,608 ","$1,838 ","727,165",2021
Arizona (AZ),$698 ,$768 ,$970 ,"$1,340 ","$1,494 ","6,809,935",2021
Arkansas (AR),$516 ,$554 ,$697 ,$920 ,"$1,065 ","2,977,950",2021
California (CA),"$1,061 ","$1,205 ","$1,526 ","$2,103 ","$2,437 ","38,982,855",2021
Colorado (CO),$814 ,$868 ,"$1,088 ","$1,463 ","$1,699 ","5,436,520",2021
Connecticut (CT),$910 ,"$1,079 ","$1,348 ","$1,701 ","$2,004 ","3,594,465",2021
Delaware (DE),$806 ,$893 ,"$1,097 ","$1,466 ","$1,696 ","943,730",2021
District of Columbia (DC),"$1,513 ","$1,548 ","$1,765 ","$2,263 ","$2,742 ","672,390",2021
Florida (FL),$771 ,$835 ,"$1,021 ","$1,358 ","$1,610 ","20,278,455",2021
Georgia (GA),$632 ,$658 ,$793 ,"$1,041 ","$1,229 ","10,201,630",2021
Guam (GU),$975 ,"$1,068 ","$1,408 ","$2,015 ","$2,438 ","159,358",2021
Hawaii (HI),"$1,260 ","$1,405 ","$1,798 ","$2,480 ","$2,861 ","1,421,660",2021
Idaho (ID),$593 ,$641 ,$821 ,"$1,146 ","$1,341 ","1,657,380",2021
Illinois (IL),$571 ,$638 ,$802 ,"$1,050 ","$1,181 ","12,743,375",2021
Indiana (IN),$565 ,$635 ,$801 ,"$1,048 ","$1,194 ","6,614,425",2021
Iowa (IA),$541 ,$593 ,$760 ,"$1,005 ","$1,115 ","3,118,085",2021
Kansas (KS),$563 ,$593 ,$757 ,$995 ,"$1,130 ","2,903,780",2021
Kentucky (KY),$527 ,$582 ,$733 ,$972 ,"$1,099 ","4,424,350",2021
Louisiana (LA),$634 ,$693 ,$844 ,"$1,104 ","$1,260 ","4,663,460",2021
Maine (ME),$665 ,$724 ,$909 ,"$1,171 ","$1,355 ","1,330,127",2021
Maryland (MD),$932 ,"$1,036 ","$1,256 ","$1,660 ","$1,958 ","5,996,070",2021
Massachusetts (MA),"$1,184 ","$1,315 ","$1,642 ","$2,058 ","$2,277 ","6,789,270",2021
Michigan (MI),$579 ,$647 ,$815 ,"$1,067 ","$1,182 ","9,925,560",2021
Minnesota (MN),$580 ,$663 ,$842 ,"$1,146 ","$1,304 ","5,490,735",2021
Mississippi (MS),$553 ,$590 ,$727 ,$941 ,"$1,073 ","2,986,195",2021
Missouri (MO),$512 ,$568 ,$728 ,$966 ,"$1,104 ","6,075,330",2021
Montana (MT),$588 ,$654 ,$831 ,"$1,108 ","$1,300 ","1,029,850",2021
Nebraska (NE),$507 ,$595 ,$759 ,$989 ,"$1,102 ","1,893,930",2021
Nevada (NV),$621 ,$721 ,$915 ,"$1,273 ","$1,468 ","2,887,720",2021
New Hampshire (NH),$788 ,$896 ,"$1,142 ","$1,492 ","$1,771 ","1,331,810",2021
New Jersey (NJ),"$1,084 ","$1,257 ","$1,552 ","$1,980 ","$2,272 ","8,960,150",2021
New Mexico (NM),$639 ,$683 ,$842 ,"$1,137 ","$1,351 ","2,084,830",2021
New York (NY),$846 ,$922 ,"$1,120 ","$1,433 ","$1,578 ","19,798,235",2021
North Carolina (NC),$657 ,$674 ,$825 ,"$1,090 ","$1,313 ","10,052,560",2021
North Dakota (ND),$606 ,$622 ,$781 ,"$1,074 ","$1,213 ","745,470",2021
Ohio (OH),$571 ,$633 ,$797 ,"$1,036 ","$1,151 ","11,609,765",2021
Oklahoma (OK),$569 ,$601 ,$762 ,"$1,005 ","$1,149 ","3,896,265",2021
Oregon (OR),$744 ,$843 ,"$1,053 ","$1,485 ","$1,755 ","4,025,115",2021
Pennsylvania (PA),$643 ,$706 ,$878 ,"$1,133 ","$1,258 ","12,790,485",2021
Puerto Rico (PR),$392 ,$420 ,$483 ,$643 ,$765 ,"3,468,975",2021
Rhode Island (RI),$868 ,$969 ,"$1,177 ","$1,498 ","$1,792 ","1,056,155",2021
South Carolina (SC),$653 ,$686 ,$824 ,"$1,086 ","$1,283 ","4,893,435",2021
South Dakota (SD),$523 ,$582 ,$748 ,$990 ,"$1,163 ","841,150",2021
Tennessee (TN),$588 ,$625 ,$774 ,"$1,022 ","$1,188 ","6,597,390",2021
Texas (TX),$634 ,$699 ,$865 ,"$1,147 ","$1,334 ","27,419,610",2021
Utah (UT),$623 ,$703 ,$872 ,"$1,182 ","$1,416 ","2,993,930",2021
Vermont (VT),$761 ,$845 ,"$1,046 ","$1,350 ","$1,479 ","624,618",2021
Virginia (VA),$781 ,$842 ,"$1,007 ","$1,335 ","$1,577 ","8,365,985",2021
Washington (WA),$752 ,$850 ,"$1,070 ","$1,498 ","$1,764 ","7,169,985",2021
West Virginia (WV),$567 ,$599 ,$732 ,$962 ,"$1,110 ","1,836,835",2021
Wisconsin (WI),$569 ,$637 ,$817 ,"$1,075 ","$1,198 ","5,763,215",2021
Wyoming (WY),$640 ,$677 ,$842 ,"$1,139 ","$1,413 ","583,200",2021
Alabama (AL),$586 ,$628 ,$774 ,"$1,005 ","$1,155 ","4,850,775",2022
Alaska (AK),$875 ,$975 ,"$1,252 ","$1,645 ","$1,908 ","727,165",2022
Arizona (AZ),$752 ,$825 ,"$1,040 ","$1,420 ","$1,592 ","6,809,935",2022
Arkansas (AR),$524 ,$555 ,$698 ,$920 ,"$1,062 ","2,977,950",2022
California (CA),"$1,080 ","$1,214 ","$1,533 ","$2,103 ","$2,426 ","38,982,855",2022
Colorado (CO),$898 ,$959 ,"$1,201 ","$1,595 ","$1,868 ","5,436,520",2022
Connecticut (CT),$927 ,"$1,092 ","$1,366 ","$1,716 ","$2,036 ","3,594,465",2022
Delaware (DE),$814 ,$887 ,"$1,088 ","$1,439 ","$1,666 ","943,730",2022
District of Columbia (DC),"$1,539 ","$1,567 ","$1,785 ","$2,260 ","$2,713 ","672,390",2022
Florida (FL),$817 ,$883 ,"$1,074 ","$1,418 ","$1,676 ","20,278,455",2022
Georgia (GA),$680 ,$707 ,$853 ,"$1,112 ","$1,311 ","10,201,630",2022
Guam (GU),"$1,016 ","$1,115 ","$1,467 ","$2,084 ","$2,511 ","159,358",2022
Hawaii (HI),"$1,310 ","$1,466 ","$1,888 ","$2,569 ","$2,945 ","1,421,660",2022
Idaho (ID),$638 ,$688 ,$877 ,"$1,224 ","$1,444 ","1,657,380",2022
Illinois (IL),$593 ,$661 ,$829 ,"$1,084 ","$1,213 ","12,743,375",2022
Indiana (IN),$580 ,$647 ,$814 ,"$1,059 ","$1,211 ","6,614,425",2022
Iowa (IA),$563 ,$618 ,$788 ,"$1,037 ","$1,155 ","3,118,085",2022
Kansas (KS),$580 ,$612 ,$779 ,"$1,018 ","$1,153 ","2,903,780",2022
Kentucky (KY),$536 ,$593 ,$747 ,$985 ,"$1,113 ","4,424,350",2022
Louisiana (LA),$616 ,$674 ,$823 ,"$1,071 ","$1,224 ","4,663,460",2022
Maine (ME),$704 ,$754 ,$959 ,"$1,230 ","$1,429 ","1,330,072",2022
