Sum of index_nsa,year,,,,,,,,,,
Metro_name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
"Akron, OH",623.1,648.62,671.68,708.74,747.47,784.62,853.25,977,1090.59,1166.21,8271.28
"Albany-Schenectady-Troy, NY",694.36,701.71,726.79,744.83,774.25,784.7,839.89,964.17,1070.62,1166.98,8468.3
"Albuquerque, NM",809.44,830.46,857.65,892.12,928.6,979.71,1069.85,1242.97,1426.51,1514.96,10552.27
"Allentown-Bethlehem-Easton, PA-NJ",641.21,642.6,665.27,695.85,731.58,764.5,823.84,973.33,1101.39,1185.26,8224.83
"Anaheim-Santa Ana-Irvine, CA  (MSAD)",1008.51,1063.43,1132.63,1199.87,1261.3,1292.05,1376.19,1595.81,1807.08,1861.53,13598.4
"Atlanta-Sandy Springs-Alpharetta, GA",732.96,786.25,847.34,912.34,989.06,1048.75,1138.53,1342.21,1581.44,1663.64,11042.52
"Austin-Round Rock-Georgetown, TX",1322.33,1451.3,1579.9,1675.16,1774.12,1905.58,2111.97,2740.45,3120.58,2909.21,20590.6
"Bakersfield, CA",682.31,701,718.49,752.93,790.91,823.85,896.59,1049.85,1205.7,1231.73,8853.36
"Baltimore-Columbia-Towson, MD",911.31,922.6,951.44,990.19,1012.44,1031.66,1088.44,1217.77,1330.99,1403.9,10860.74
"Baton Rouge, LA",931.19,971.87,1007.49,1055.16,1087.04,1100.77,1136.74,1242.26,1360.92,1394.31,11287.75
"Birmingham-Hoover, AL",784.15,818.01,862.97,908.29,959.8,1017.97,1101.52,1246.54,1409.93,1476.83,10586.01
"Boise City, ID",954.83,1033.17,1148.4,1274.28,1481.31,1685.1,1964.05,2589.74,2801.94,2679.91,17612.73
"Boston, MA  (MSAD)",989.41,1033.2,1097.89,1166.81,1236.05,1294.71,1396.06,1614.77,1766.58,1861.25,13456.73
"Bridgeport-Stamford-Norwalk, CT",762.16,769,764.96,786.43,805.99,818.76,875.57,1030.95,1152.29,1250.94,9017.05
"Buffalo-Cheektowaga, NY",666.17,684.24,720.86,765.68,817,866.64,947.47,1108.39,1248.41,1327.27,9152.13
"Cambridge-Newton-Framingham, MA  (MSAD)",974.38,1024.76,1087.86,1161.14,1234.92,1288.38,1384.77,1603.13,1732.46,1830.77,13322.57
"Camden, NJ  (MSAD)",677.05,684.35,691.68,709.04,739.57,766,837.88,1001.7,1135.78,1268.22,8511.27
"Cape Coral-Fort Myers, FL",759.96,851.19,927.71,989.16,1046,1071.66,1161.57,1481.04,1876.49,1942.11,12106.89
"Charleston-North Charleston, SC",1035.34,1141.59,1234.16,1342.68,1427.59,1506.64,1622.5,1911.32,2300.88,2503.49,16026.19
"Charlotte-Concord-Gastonia, NC-SC",748.35,800.86,858.6,933.53,1013.15,1075.11,1185.81,1419.16,1681,1798.46,11514.03
"Chicago-Naperville-Evanston, IL  (MSAD)",725.37,748.78,782.58,818.46,846.98,868.77,914.03,1019.91,1117.83,1182.18,9024.89
"Cincinnati, OH-KY-IN",668.94,692.24,730.56,774.21,825.5,877.71,959.43,1101.61,1243.87,1347.87,9221.94
"Cleveland-Elyria, OH",595.78,614.81,637.96,677.23,715.48,755.05,825.57,946.21,1052.64,1129.17,7949.9
"Colorado Springs, CO",1012.81,1075.98,1163.05,1275.21,1400.93,1517.39,1677.87,1999.15,2258.54,2244.81,15625.74
"Columbia, SC",681.53,712.45,740.55,773.95,815.5,860.52,923.1,1053.95,1231.52,1337.2,9130.27
"Columbus, OH",723.4,760.25,812.75,875.15,940.54,1002.38,1103.46,1268.85,1439.9,1527.42,10454.1
"Dallas-Plano-Irving, TX  (MSAD)",807.36,892,980.23,1072.71,1136.26,1172.62,1243.53,1465.13,1735.76,1778.63,12284.23
"Dayton-Kettering, OH",553.19,571.02,593.6,631.5,681.26,727.05,795.58,907.25,1014.89,1105.8,7581.14
"Denver-Aurora-Lakewood, CO",1314.42,1487.75,1649.92,1812.72,1970.92,2054.2,2209.57,2596.97,2916.8,2901.52,20914.79
"Detroit-Dearborn-Livonia, MI  (MSAD)",622.07,657.9,708.74,759.25,819.13,862.01,926.12,1061.17,1171.33,1249.31,8837.03
"El Paso, TX",710.17,722.43,734.43,765.76,784.57,824.29,881.57,1023.91,1183.71,1271.66,8902.5
"Elgin, IL  (MSAD)",580.85,607.68,637.61,671.85,700.93,720.16,757.18,861.56,967.28,1043.79,7548.89
"Fort Lauderdale-Pompano Beach-Sunrise, FL  (MSAD)",980.91,1052.06,1136.09,1227.92,1311.64,1367.56,1479.64,1759.4,2164.92,2296.14,14776.28
"Fort Worth-Arlington-Grapevine, TX  (MSAD)",757.73,821.54,895.73,983.98,1061.5,1114.95,1186.27,1398.69,1646.76,1682.17,11549.32
"Frederick-Gaithersburg-Rockville, MD  (MSAD)",928.03,933.94,965.88,1007.34,1047.38,1068.59,1132.84,1281.1,1387.42,1437.4,11189.92
"Fresno, CA",730.7,770.14,816.23,881.29,936.05,973.29,1046,1239.26,1400.1,1432.83,10225.89
"Gary, IN  (MSAD)",699.85,729.44,754.59,787.23,838.25,886.85,970.83,1116.45,1237.31,1308.53,9329.33
"Grand Rapids-Kentwood, MI",689.94,745.6,807.87,889.25,966.26,1040.96,1140.24,1343.24,1512.76,1617.66,10753.78
"Greensboro-High Point, NC",623.21,634.58,667.46,696.49,736,778.28,853.88,980.29,1163.18,1256.18,8389.55
