observation_date,year,mortgage_rate
2014-08-14,2014,4.12
2014-08-21,2014,4.10
2014-08-28,2014,4.10
2014-09-04,2014,4.10
2014-09-11,2014,4.12
2014-09-18,2014,4.23
2014-09-25,2014,4.20
2014-10-02,2014,4.19
2014-10-09,2014,4.12
2014-10-16,2014,3.97
2014-10-23,2014,3.92
2014-10-30,2014,3.98
2014-11-06,2014,4.02
2014-11-13,2014,4.01
2014-11-20,2014,3.99
2014-11-26,2014,3.97
2014-12-04,2014,3.89
2014-12-11,2014,3.93
2014-12-18,2014,3.80
2014-12-24,2014,3.83
2014-12-31,2014,3.87
2015-01-08,2015,3.73
2015-01-15,2015,3.66
2015-01-22,2015,3.63
2015-01-29,2015,3.66
2015-02-05,2015,3.59
2015-02-12,2015,3.69
2015-02-19,2015,3.76
2015-02-26,2015,3.80
2015-03-05,2015,3.75
2015-03-12,2015,3.86
2015-03-19,2015,3.78
2015-03-26,2015,3.69
2015-04-02,2015,3.70
2015-04-09,2015,3.66
2015-04-16,2015,3.67
2015-04-23,2015,3.65
2015-04-30,2015,3.68
2015-05-07,2015,3.80
2015-05-14,2015,3.85
2015-05-21,2015,3.84
2015-05-28,2015,3.87
2015-06-04,2015,3.87
2015-06-11,2015,4.04
2015-06-18,2015,4.00
2015-06-25,2015,4.02
2015-07-02,2015,4.08
2015-07-09,2015,4.04
2015-07-16,2015,4.09
2015-07-23,2015,4.04
2015-07-30,2015,3.98
2015-08-06,2015,3.91
2015-08-13,2015,3.94
2015-08-20,2015,3.93
2015-08-27,2015,3.84
2015-09-03,2015,3.89
2015-09-10,2015,3.90
2015-09-17,2015,3.91
2015-09-24,2015,3.86
2015-10-01,2015,3.85
2015-10-08,2015,3.76
2015-10-15,2015,3.82
2015-10-22,2015,3.79
2015-10-29,2015,3.76
2015-11-05,2015,3.87
2015-11-12,2015,3.98
2015-11-19,2015,3.97
2015-11-25,2015,3.95
2015-12-03,2015,3.93
2015-12-10,2015,3.95
2015-12-17,2015,3.97
2015-12-24,2015,3.96
2015-12-31,2015,4.01
2016-01-07,2016,3.97
2016-01-14,2016,3.92
2016-01-21,2016,3.81
2016-01-28,2016,3.79
2016-02-04,2016,3.72
2016-02-11,2016,3.65
2016-02-18,2016,3.65
2016-02-25,2016,3.62
2016-03-03,2016,3.64
2016-03-10,2016,3.68
2016-03-17,2016,3.73
2016-03-24,2016,3.71
2016-03-31,2016,3.71
2016-04-07,2016,3.59
2016-04-14,2016,3.58
2016-04-21,2016,3.59
2016-04-28,2016,3.66
2016-05-05,2016,3.61
2016-05-12,2016,3.57
2016-05-19,2016,3.58
2016-05-26,2016,3.64
2016-06-02,2016,3.66
2016-06-09,2016,3.60
2016-06-16,2016,3.54
2016-06-23,2016,3.56
2016-06-30,2016,3.48
2016-07-07,2016,3.41
2016-07-14,2016,3.42
2016-07-21,2016,3.45
2016-07-28,2016,3.48
2016-08-04,2016,3.43
2016-08-11,2016,3.45
2016-08-18,2016,3.43
2016-08-25,2016,3.43
2016-09-01,2016,3.46
2016-09-08,2016,3.44
2016-09-15,2016,3.50
2016-09-22,2016,3.48
2016-09-29,2016,3.42
2016-10-06,2016,3.42
2016-10-13,2016,3.47
2016-10-20,2016,3.52
2016-10-27,2016,3.47
2016-11-03,2016,3.54
2016-11-10,2016,3.57
2016-11-17,2016,3.94
2016-11-23,2016,4.03
2016-12-01,2016,4.08
2016-12-08,2016,4.13
2016-12-15,2016,4.16
2016-12-22,2016,4.30
2016-12-29,2016,4.32
2017-01-05,2017,4.20
2017-01-12,2017,4.12
2017-01-19,2017,4.09
2017-01-26,2017,4.19
2017-02-02,2017,4.19
2017-02-09,2017,4.17
2017-02-16,2017,4.15
2017-02-23,2017,4.16
2017-03-02,2017,4.10
2017-03-09,2017,4.21
2017-03-16,2017,4.30
2017-03-23,2017,4.23
2017-03-30,2017,4.14
2017-04-06,2017,4.10
2017-04-13,2017,4.08
2017-04-20,2017,3.97
2017-04-27,2017,4.03
2017-05-04,2017,4.02
2017-05-11,2017,4.05
2017-05-18,2017,4.02
2017-05-25,2017,3.95
2017-06-01,2017,3.94
2017-06-08,2017,3.89
2017-06-15,2017,3.91
2017-06-22,2017,3.90
2017-06-29,2017,3.88
2017-07-06,2017,3.96
2017-07-13,2017,4.03
2017-07-20,2017,3.96
2017-07-27,2017,3.92
2017-08-03,2017,3.93
2017-08-10,2017,3.90
2017-08-17,2017,3.89
2017-08-24,2017,3.86
2017-08-31,2017,3.82
2017-09-07,2017,3.78
2017-09-14,2017,3.78
2017-09-21,2017,3.83
2017-09-28,2017,3.83
2017-10-05,2017,3.85
2017-10-12,2017,3.91
2017-10-19,2017,3.88
2017-10-26,2017,3.94
2017-11-02,2017,3.94
2017-11-09,2017,3.90
2017-11-16,2017,3.95
2017-11-22,2017,3.92
2017-11-30,2017,3.90
2017-12-07,2017,3.94
2017-12-14,2017,3.93
2017-12-21,2017,3.94
2017-12-28,2017,3.99
2018-01-04,2018,3.95
2018-01-11,2018,3.99
2018-01-18,2018,4.04
2018-01-25,2018,4.15
2018-02-01,2018,4.22
2018-02-08,2018,4.32
2018-02-15,2018,4.38
2018-02-22,2018,4.40
2018-03-01,2018,4.43
2018-03-08,2018,4.46
2018-03-15,2018,4.44
2018-03-22,2018,4.45
2018-03-29,2018,4.44
2018-04-05,2018,4.40
2018-04-12,2018,4.42
2018-04-19,2018,4.47
2018-04-26,2018,4.58
2018-05-03,2018,4.55
2018-05-10,2018,4.55
2018-05-17,2018,4.61
2018-05-24,2018,4.66
2018-05-31,2018,4.56
2018-06-07,2018,4.54
2018-06-14,2018,4.62
2018-06-21,2018,4.57
2018-06-28,2018,4.55
2018-07-05,2018,4.52
2018-07-12,2018,4.53
2018-07-19,2018,4.52
2018-07-26,2018,4.54
2018-08-02,2018,4.60
2018-08-09,2018,4.59
2018-08-16,2018,4.53
2018-08-23,2018,4.51
2018-08-30,2018,4.52
2018-09-06,2018,4.54
2018-09-13,2018,4.60
2018-09-20,2018,4.65
2018-09-27,2018,4.72
2018-10-04,2018,4.71
2018-10-11,2018,4.90
2018-10-18,2018,4.85
2018-10-25,2018,4.86
2018-11-01,2018,4.83
2018-11-08,2018,4.94
2018-11-15,2018,4.94
2018-11-21,2018,4.81
2018-11-29,2018,4.81
2018-12-06,2018,4.75
2018-12-13,2018,4.63
2018-12-20,2018,4.62
