no,state Name,place_id,Region,Division
2,Alaska,AK,West,Pacific
3,Alabama,AL,South,East South Central
4,Arkansas,AR,South,West South Central
5,Arizona,AZ,West,Mountain
6,California,CA,West,Pacific
7,Colorado,CO,West,Mountain
8,Connecticut,CT,Northeast,New England
9,District of Columbia,DC,South,South Atlantic
10,Delaware,DE,South,South Atlantic
11,Florida,FL,South,South Atlantic
12,Georgia,GA,South,South Atlantic
13,Hawaii,HI,West,Pacific
14,Iowa,IA,Midwest,West North Central
15,Idaho,ID,West,Mountain
16,Illinois,IL,Midwest,East North Central
17,Indiana,IN,Midwest,East North Central
18,Kansas,KS,Midwest,West North Central
19,Kentucky,KY,South,East South Central
20,Louisiana,LA,South,West South Central
21,Massachusetts,MA,Northeast,New England
22,Maryland,MD,South,South Atlantic
23,Maine,ME,Northeast,New England
24,Michigan,MI,Midwest,East North Central
25,Minnesota,MN,Midwest,West North Central
26,Missouri,MO,Midwest,West North Central
27,Mississippi,MS,South,East South Central
28,Montana,MT,West,Mountain
29,North Carolina,NC,South,South Atlantic
30,North Dakota,ND,Midwest,West North Central
31,Nebraska,NE,Midwest,West North Central
32,New Hampshire,NH,Northeast,New England
33,New Jersey,NJ,Northeast,Middle Atlantic
34,New Mexico,NM,West,Mountain
35,Nevada,NV,West,Mountain
36,New York,NY,Northeast,Middle Atlantic
37,Ohio,OH,Midwest,East North Central
38,Oklahoma,OK,South,West South Central
39,Oregon,OR,West,Pacific
40,Pennsylvania,PA,Northeast,Middle Atlantic
41,Rhode Island,RI,Northeast,New England
42,South Carolina,SC,South,South Atlantic
43,South Dakota,SD,Midwest,West North Central
44,Tennessee,TN,South,East South Central
45,Texas,TX,South,West South Central
46,Utah,UT,West,Mountain
47,Virginia,VA,South,South Atlantic
48,Vermont,VT,Northeast,New England
49,Washington,WA,West,Pacific
50,Wisconsin,WI,Midwest,East North Central
51,West Virginia,WV,South,South Atlantic
52,Wyoming,WY,West,Mountain
