In 2023 Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,,In Current Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,
,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,,,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year
University of Alaska Fairbanks,AK,"$7,861","$7,986","$8,779","$9,154","$9,380","$9,849","$10,213","$10,611","$10,237","$10,327","$10,970",6.2%,11.4%,,University of Alaska Fairbanks,AK,"$5,988","$6,182","$6,804","$7,184","$7,518","$8,087","$8,538","$8,980","$9,070","$9,882","$10,970",11.0%,35.6%
University of Alabama,AL,"$12,406","$12,694","$13,122","$13,341","$13,450","$13,129","$12,895","$13,731","$13,115","$12,436","$11,900",-4.3%,-9.4%,,University of Alabama,AL,"$9,450","$9,826","$10,170","$10,470","$10,780","$10,780","$10,780","$11,620","$11,620","$11,900","$11,900",0.0%,10.4%
University of Arkansas,AR,"$10,263","$10,606","$10,996","$11,239","$11,306","$11,119","$11,221","$11,084","$10,801","$10,091","$9,748",-3.4%,-12.3%,,University of Arkansas,AR,"$7,818","$8,210","$8,522","$8,820","$9,062","$9,130","$9,380","$9,380","$9,570","$9,656","$9,748",1.0%,6.8%
University of Arizona,AZ,"$13,641","$14,155","$14,713","$14,996","$14,818","$15,208","$15,072","$15,007","$14,352","$13,852","$13,600",-1.8%,-10.6%,,University of Arizona,AZ,"$10,391","$10,957","$11,403","$11,769","$11,877","$12,487","$12,600","$12,700","$12,716","$13,255","$13,600",2.6%,8.9%
University of California: Berkeley,CA,"$16,888","$16,758","$17,330","$17,183","$17,377","$17,275","$17,050","$16,909","$16,289","$15,905","$15,602",-1.9%,-9.7%,,University of California: Berkeley,CA,"$12,864","$12,972","$13,431","$13,485","$13,928","$14,184","$14,253","$14,310","$14,433","$15,220","$15,602",2.5%,10.0%
University of Colorado at Boulder,CO,"$13,822","$13,938","$14,311","$14,693","$15,079","$15,263","$14,953","$14,771","$14,108","$13,696","$13,622",-0.5%,-10.8%,,University of Colorado at Boulder,CO,"$10,529","$10,789","$11,091","$11,531","$12,086","$12,532","$12,500","$12,500","$12,500","$13,106","$13,622",3.9%,8.7%
University of Connecticut,CT,"$15,782","$16,406","$17,244","$17,923","$18,565","$19,158","$20,606","$21,069","$20,902","$20,309","$20,366",0.3%,6.3%,,University of Connecticut,CT,"$12,022","$12,700","$13,364","$14,066","$14,880","$15,730","$17,226","$17,830","$18,520","$19,434","$20,366",4.8%,29.5%
University of Delaware,DE,"$15,901","$15,944","$16,155","$16,348","$16,419","$16,661","$17,082","$17,311","$16,952","$16,103","$16,080",-0.1%,-3.5%,,University of Delaware,DE,"$12,112","$12,342","$12,520","$12,830","$13,160","$13,680","$14,280","$14,650","$15,020","$15,410","$16,080",4.3%,17.5%
University of Florida,FL,"$8,222","$8,155","$8,233","$8,131","$7,961","$7,771","$7,632","$7,539","$7,201","$6,668","$6,381",-4.3%,-17.9%,,University of Florida,FL,"$6,263","$6,313","$6,381","$6,381","$6,381","$6,381","$6,380","$6,380","$6,380","$6,381","$6,381",0.0%,0.0%
University of Georgia,GA,"$13,472","$13,998","$14,996","$14,824","$14,745","$14,408","$14,450","$14,274","$13,634","$11,683","$11,180",-4.3%,-22.4%,,University of Georgia,GA,"$10,262","$10,836","$11,622","$11,634","$11,818","$11,830","$12,080","$12,080","$12,080","$11,180","$11,180",0.0%,-5.5%
University of Hawaii at Manoa,HI,"$13,002","$13,719","$14,405","$14,949","$14,637","$14,578","$14,582","$14,404","$13,758","$12,734","$12,186",-4.3%,-16.4%,,University of Hawaii at Manoa,HI,"$9,904","$10,620","$11,164","$11,732","$11,732","$11,970","$12,190","$12,190","$12,190","$12,186","$12,186",0.0%,1.8%
University of Iowa,IA,"$10,582","$10,437","$10,457","$10,608","$11,184","$11,286","$11,496","$11,356","$11,219","$10,819","$10,964",1.3%,-2.9%,,University of Iowa,IA,"$8,061","$8,079","$8,104","$8,325","$8,964","$9,267","$9,610","$9,610","$9,940","$10,353","$10,964",5.9%,18.3%
University of Idaho,ID,"$8,565","$8,764","$9,058","$9,215","$9,342","$9,578","$9,929","$9,808","$9,413","$8,774","$8,816",0.5%,-8.0%,,University of Idaho,ID,"$6,524","$6,784","$7,020","$7,232","$7,488","$7,864","$8,300","$8,300","$8,340","$8,396","$8,816",5.0%,12.1%
University of Illinois at Urbana-Champaign,IL,"$19,364","$19,403","$20,162","$20,003","$19,798","$19,491","$19,391","$19,615","$19,040","$17,909","$17,572",-1.9%,-9.8%,,University of Illinois at Urbana-Champaign,IL,"$14,750","$15,020","$15,626","$15,698","$15,868","$16,004","$16,210","$16,600","$16,870","$17,138","$17,572",2.5%,9.8%
Indiana University Bloomington,IN,"$13,402","$13,420","$13,404","$13,237","$13,142","$13,008","$13,095","$13,258","$12,787","$11,962","$11,790",-1.4%,-9.4%,,Indiana University Bloomington,IN,"$10,209","$10,388","$10,388","$10,388","$10,533","$10,681","$10,947","$11,220","$11,330","$11,447","$11,790",3.0%,10.4%
University of Kansas,KS,"$13,268","$13,497","$13,938","$14,596","$13,505","$13,577","$13,362","$13,199","$12,607","$11,670","$11,700",0.3%,-13.8%,,University of Kansas,KS,"$10,107","$10,448","$10,802","$11,455","$10,824","$11,148","$11,170","$11,170","$11,170","$11,167","$11,700",4.8%,5.0%
University of Kentucky,KY,"$13,083","$13,518","$14,111","$14,424","$14,687","$14,913","$14,785","$14,747","$14,232","$13,438","$13,212",-1.7%,-11.4%,,University of Kentucky,KY,"$9,966","$10,464","$10,936","$11,320","$11,772","$12,245","$12,360","$12,480","$12,610","$12,859","$13,212",2.7%,7.9%
Louisiana State University and Agricultural and Mechanical College,LA,"$10,345","$11,304","$12,699","$13,780","$14,191","$14,554","$14,307","$14,133","$13,498","$12,494","$11,956",-4.3%,-17.9%,,Louisiana State University and Agricultural and Mechanical College,LA,"$7,880","$8,750","$9,842","$10,814","$11,374","$11,950","$11,960","$11,960","$11,960","$11,956","$11,956",0.0%,0.1%
University of Massachusetts Amherst,MA,"$17,611","$17,366","$18,524","$19,312","$19,228","$19,349","$19,605","$19,426","$18,555","$17,715","$17,357",-2.0%,-10.3%,,University of Massachusetts Amherst,MA,"$13,415","$13,443","$14,356","$15,156","$15,411","$15,887","$16,389","$16,440","$16,440","$16,952","$17,357",2.4%,9.3%
University of Maryland: College Park,MD,"$12,027","$12,178","$12,898","$12,974","$12,974","$12,904","$12,895","$12,738","$12,370","$11,738","$11,505",-2.0%,-10.8%,,University of Maryland: College Park,MD,"$9,161","$9,427","$9,996","$10,182","$10,399","$10,595","$10,780","$10,780","$10,960","$11,233","$11,505",2.4%,8.6%
