STATE,Out-of-State Tuition and Fees,,,,,,,,,,
,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AK,"$24,875 ","$25,193 ","$26,818 ","$27,847 ","$28,581 ","$29,543 ","$31,351 ","$31,479 ","$30,168 ","$29,107 ","$29,000 "
AL,"$31,441 ","$32,231 ","$33,483 ","$34,341 ","$35,059 ","$35,599 ","$36,186 ","$36,738 ","$35,089 ","$33,754 ","$33,200 "
AR,"$25,042 ","$26,227 ","$28,162 ","$29,521 ","$30,328 ","$30,652 ","$30,949 ","$30,569 ","$29,785 ","$28,643 ","$28,772 "
AZ,"$35,541 ","$38,007 ","$42,064 ","$45,894 ","$44,051 ","$44,315 ","$43,782 ","$43,248 ","$42,028 ","$41,337 ","$41,000 "
CA,"$46,922 ","$46,312 ","$49,211 ","$51,182 ","$52,329 ","$52,584 ","$52,642 ","$52,075 ","$49,871 ","$48,327 ","$48,176 "
CO,"$42,399 ","$42,826 ","$44,032 ","$44,699 ","$45,190 ","$45,411 ","$45,837 ","$45,281 ","$43,249 ","$42,172 ","$41,966 "
CT,"$40,657 ","$42,476 ","$45,042 ","$45,691 ","$46,098 ","$46,400 ","$47,722 ","$47,857 ","$46,793 ","$43,997 ","$43,034 "
DE,"$39,295 ","$39,649 ","$40,541 ","$41,094 ","$41,360 ","$41,786 ","$42,717 ","$42,634 ","$41,218 ","$39,637 ","$39,720 "
FL,"$37,467 ","$36,934 ","$36,978 ","$36,517 ","$35,755 ","$34,903 ","$34,282 ","$33,866 ","$32,346 ","$29,949 ","$28,659 "
GA,"$37,378 ","$37,523 ","$38,492 ","$38,028 ","$37,919 ","$37,029 ","$37,227 ","$36,773 ","$35,123 ","$31,580 ","$30,220 "
HI,"$36,065 ","$37,996 ","$40,665 ","$43,023 ","$42,126 ","$41,411 ","$40,933 ","$40,436 ","$38,622 ","$35,758 ","$34,218 "
IA,"$35,355 ","$35,408 ","$35,987 ","$36,205 ","$38,188 ","$38,039 ","$37,764 ","$37,305 ","$36,015 ","$33,770 ","$32,927 "
ID,"$25,731 ","$26,242 ","$27,127 ","$28,084 ","$29,709 ","$31,057 ","$32,944 ","$32,543 ","$31,128 ","$28,875 ","$28,052 "
IL,"$38,244 ","$38,298 ","$39,723 ","$39,909 ","$39,910 ","$39,672 ","$39,897 ","$40,235 ","$38,735 ","$36,690 ","$36,068 "
IN,"$42,469 ","$42,942 ","$43,536 ","$43,637 ","$43,474 ","$43,182 ","$43,677 ","$44,430 ","$43,283 ","$40,880 ","$40,480 "
KS,"$32,653 ","$33,240 ","$34,374 ","$35,983 ","$33,178 ","$33,319 ","$33,535 ","$33,122 ","$31,635 ","$29,297 ","$29,412 "
KY,"$27,637 ","$29,369 ","$31,313 ","$33,329 ","$34,755 ","$35,440 ","$36,700 ","$36,974 ","$35,676 ","$33,728 ","$33,406 "
LA,"$33,867 ","$34,191 ","$34,845 ","$35,030 ","$34,998 ","$34,865 ","$34,259 ","$33,854 ","$32,324 ","$29,929 ","$28,640 "
MA,"$35,222 ","$35,929 ","$39,598 ","$41,271 ","$41,768 ","$42,103 ","$42,717 ","$43,048 ","$41,714 ","$39,889 ","$39,323 "
MD,"$37,214 ","$38,393 ","$40,185 ","$40,833 ","$41,929 ","$42,890 ","$44,130 ","$43,591 ","$43,610 ","$41,245 ","$40,306 "
ME,"$36,719 ","$36,799 ","$37,264 ","$37,587 ","$37,781 ","$37,719 ","$37,978 ","$38,439 ","$37,911 ","$35,254 ","$35,346 "
MI,"$53,026 ","$54,136 ","$56,097 ","$57,863 ","$59,234 ","$60,104 ","$61,247 ","$61,765 ","$60,077 ","$57,824 ","$58,072 "
MN,"$26,083 ","$26,968 ","$28,658 ","$30,334 ","$33,191 ","$36,989 ","$39,864 ","$39,514 ","$38,328 ","$36,678 ","$36,410 "
MO,"$29,628 ","$31,598 ","$32,472 ","$32,992 ","$33,070 ","$32,821 ","$33,841 ","$34,280 ","$34,367 ","$33,409 ","$34,322 "
MS,"$23,273 ","$24,731 ","$26,676 ","$28,061 ","$29,400 ","$29,978 ","$30,025 ","$29,659 ","$29,096 ","$27,630 ","$26,980 "
MT,"$28,513 ","$28,901 ","$29,739 ","$30,160 ","$31,030 ","$30,398 ","$31,277 ","$32,212 ","$32,143 ","$30,968 ","$31,622 "
NC,"$39,544 ","$43,184 ","$43,448 ","$43,217 ","$43,154 ","$44,046 ","$43,262 ","$42,740 ","$41,646 ","$39,248 ","$39,338 "
ND,"$23,359 ","$23,781 ","$24,385 ","$24,581 ","$25,357 ","$25,282 ","$16,558 ","$17,193 ","$16,975 ","$16,271 ","$15,570 "
NE,"$28,098 ","$28,541 ","$28,962 ","$29,381 ","$30,194 ","$30,386 ","$30,870 ","$31,538 ","$30,157 ","$27,954 ","$27,680 "
NH,"$38,355 ","$38,151 ","$39,040 ","$40,041 ","$40,720 ","$41,261 ","$42,357 ","$42,870 ","$41,985 ","$39,641 ","$38,882 "
NJ,"$36,132 ","$36,935 ","$38,091 ","$38,256 ","$38,152 ","$38,099 ","$38,505 ","$37,588 ","$37,256 ","$35,491 ","$36,001 "
NM,"$27,159 ","$26,679 ","$27,489 ","$27,952 ","$27,495 ","$27,508 ","$27,863 ","$28,950 ","$28,487 ","$27,601 ","$33,217 "
NV,"$26,929 ","$26,546 ","$26,828 ","$26,826 ","$27,106 ","$27,081 ","$27,615 ","$28,383 ","$27,855 ","$26,479 ","$25,968 "
NY,"$26,736 ","$28,796 ","$31,665 ","$34,167 ","$34,108 ","$33,820 ","$33,726 ","$33,323 ","$32,392 ","$29,994 ","$30,572 "
OH,"$33,814 ","$34,281 ","$35,309 ","$37,245 ","$37,049 ","$37,441 ","$38,352 ","$39,585 ","$39,525 ","$38,374 ","$38,365 "
OK,"$27,705 ","$28,768 ","$30,291 ","$32,114 ","$33,586 ","$33,059 ","$32,470 ","$31,987 ","$31,398 ","$29,983 ","$29,563 "
OR,"$39,105 ","$39,902 ","$41,321 ","$42,613 ","$43,182 ","$43,209 ","$43,800 ","$46,451 ","$45,664 ","$43,577 ","$43,300 "
PA,"$38,814 ","$39,339 ","$40,446 ","$41,262 ","$42,001 ","$42,454 ","$42,483 ","$41,960 ","$41,172 ","$39,817 ","$39,626 "
RI,"$36,779 ","$36,264 ","$37,228 ","$36,792 ","$37,482 ","$37,587 ","$37,904 ","$38,498 ","$37,640 ","$35,908 ","$35,804 "
SC,"$37,451 ","$38,032 ","$39,094 ","$39,861 ","$40,377 ","$40,554 ","$40,586 ","$40,093 ","$38,294 ","$35,455 ","$34,934 "
