In 2023 Dollars,STATE,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,,In Current Dollars,STATE,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,
,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,,,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year
University of Alaska Fairbanks,AK,"$24,875","$25,193","$26,818","$27,847","$28,581","$29,543","$31,351","$31,479","$30,168","$29,107","$29,000",-0.4%,-1.8%,,University of Alaska Fairbanks,AK,"$18,948","$19,502","$20,784","$21,854","$22,908","$24,257","$26,208","$26,640","$26,730","$27,853","$29,000",4.1%,19.6%
University of Alabama,AL,"$31,441","$32,231","$33,483","$34,341","$35,059","$35,599","$36,186","$36,738","$35,089","$33,754","$33,200",-1.6%,-6.7%,,University of Alabama,AL,"$23,950","$24,950","$25,950","$26,950","$28,100","$29,230","$30,250","$31,090","$31,090","$32,300","$33,200",2.8%,13.6%
University of Arkansas,AR,"$25,042","$26,227","$28,162","$29,521","$30,328","$30,652","$30,949","$30,569","$29,785","$28,643","$28,772",0.4%,-6.1%,,University of Arkansas,AR,"$19,075","$20,302","$21,826","$23,168","$24,308","$25,168","$25,872","$25,870","$26,390","$27,410","$28,772",5.0%,14.3%
University of Arizona,AZ,"$35,541","$38,007","$42,064","$45,894","$44,051","$44,315","$43,782","$43,248","$42,028","$41,337","$41,000",-0.8%,-7.5%,,University of Arizona,AZ,"$27,073","$29,421","$32,600","$36,017","$35,307","$36,386","$36,600","$36,600","$37,238","$39,557","$41,000",3.6%,12.7%
University of California: Berkeley,CA,"$46,922","$46,312","$49,211","$51,182","$52,329","$52,584","$52,642","$52,075","$49,871","$48,327","$48,176",-0.3%,-8.4%,,University of California: Berkeley,CA,"$35,742","$35,850","$38,139","$40,167","$41,942","$43,176","$44,007","$44,070","$44,187","$46,246","$48,176",4.2%,11.6%
University of Colorado at Boulder,CO,"$42,399","$42,826","$44,032","$44,699","$45,190","$45,411","$45,837","$45,281","$43,249","$42,172","$41,966",-0.5%,-7.6%,,University of Colorado at Boulder,CO,"$32,297","$33,151","$34,125","$35,079","$36,220","$37,286","$38,318","$38,320","$38,320","$40,356","$41,966",4.0%,12.6%
University of Connecticut,CT,"$40,657","$42,476","$45,042","$45,691","$46,098","$46,400","$47,722","$47,857","$46,793","$43,997","$43,034",-2.2%,-7.3%,,University of Connecticut,CT,"$30,970","$32,880","$34,908","$35,858","$36,948","$38,098","$39,894","$40,500","$41,460","$42,102","$43,034",2.2%,13.0%
University of Delaware,DE,"$39,295","$39,649","$40,541","$41,094","$41,360","$41,786","$42,717","$42,634","$41,218","$39,637","$39,720",0.2%,-4.9%,,University of Delaware,DE,"$29,932","$30,692","$31,420","$32,250","$33,150","$34,310","$35,710","$36,080","$36,520","$37,930","$39,720",4.7%,15.8%
University of Florida,FL,"$37,467","$36,934","$36,978","$36,517","$35,755","$34,903","$34,282","$33,866","$32,346","$29,949","$28,659",-4.3%,-17.9%,,University of Florida,FL,"$28,540","$28,590","$28,658","$28,658","$28,658","$28,658","$28,658","$28,660","$28,660","$28,659","$28,659",0.0%,0.0%
